"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"XM_060695216.1" 77.5799738094779 -2.54578200155721 0.648697382016506 -3.92445240590232 0.0000869272422967648 0.0463396375218612
"XM_060696085.1" 376.15428349586 -1.15164484364262 0.27857710381532 -4.13402547398902 0.0000356463938194897 0.0262488404447924
"XM_060698432.1" 68.8372896295519 -5.70257510792719 0.947021967248656 -6.02158693794046 0.00000000172715209679785 0.00000415460679711068
"XM_060699362.1" 8.38569170615063 2.94280254822597 0.678393327114607 4.33790019831492 0.0000143850444369666 0.0149728070101097
"XM_060700330.1" 10.6909249523687 -6.34699797056351 1.54528316980881 -4.10733650282932 0.0000400247907024626 0.0272485754363444
"XM_060702451.1" 7.65624693491108 2.68136337698574 0.646254407307814 4.14908331249275 0.0000333809315973276 0.0250927244561411
"XM_060702857.1" 66.8059588593881 0.708639945278686 0.179849651519332 3.94017969616425 0.0000814205967008456 0.0451971995409217
"XM_060704290.1" 27.7960366533612 -22.685094838282 2.93349472278124 -7.73312958844333 0.0000000000000104934382428622 0.0000000000378624238678953
"XM_060704493.1" 84.5482400428716 -2.19830517073894 0.521515740867667 -4.21522304788257 0.0000249531444806402 0.0219599843695234
"XM_060705086.1" 61.5559018325724 1.5887365773889 0.398444889262965 3.9873433445908 0.0000668172950110556 0.0408627396371001
"XM_060706632.1" 188.939304514468 -0.866010575790993 0.206039440742758 -4.20313010299914 0.0000263249177769702 0.0226156115054438
"XM_060707133.1" 6.94881018624971 -4.28336674847492 1.03960166246884 -4.12019997957949 0.000037854369675581 0.0267815954242022
"XM_060708544.1" 232.694520021982 1.05873353590077 0.259635252087611 4.07777267296322 0.0000454691903717882 0.0298294423089975
"XM_060709870.1" 30.2816598000454 2.56021562251081 0.639139646248225 4.00572181297058 0.0000618283818400514 0.0384636495440127
"XM_060714835.1" 4.54512116292069 -4.26165309855876 0.967459856513999 -4.4049921760212 0.0000105787695942642 0.0115667625606134
"XM_060715847.1" 6.09936286348358 3.9788148145746 0.821860349975236 4.84122979615027 0.00000129038046877136 0.00221711943210515
"XM_060716319.1" 714.108778560293 -1.18020473541699 0.273428797992763 -4.31631468258229 0.0000158655758786381 0.0154719380771087
"XM_060716928.1" 58.6553412539757 -1.46844385562548 0.352801775688577 -4.1622348775299 0.0000315147942914706 0.0246563296441669
"XM_060717109.1" 120.319015632366 -0.878643508880889 0.202982277378799 -4.32867105555819 0.0000150011795649238 0.0150353489183772
"XM_060717110.1" 92.9730080761272 -0.902982505448844 0.198213192886452 -4.55561253163469 0.00000522331427122628 0.00724875482824563
"XM_060718468.1" 138.344204374262 -1.38016568577789 0.304990449790291 -4.52527509214431 0.00000603169961516475 0.00777270662551337
"XM_060718662.1" 37.583529969488 -1.33764040818143 0.320657898753188 -4.17154984605889 0.0000302534857190223 0.0246563296441669
"XM_060719704.1" 4.07487159169656 4.62166774858596 1.14948410763574 4.0206451902078 0.0000580389651109458 0.0367396831426868
"XM_060719815.1" 23.8569428353425 1.13333169589193 0.256224597269446 4.42319632060976 0.00000972512947956936 0.0111929958007132
"XM_060721849.1" 118.279459723815 -1.21396108395349 0.24682585581086 -4.91828977951054 0.000000873036067913991 0.00157504437012363
"XM_060722434.1" 27.2969279016731 3.24290318236616 0.817834059166868 3.96523371216616 0.0000733240685038228 0.0426722425766925
"XM_060722798.1" 24.6964372993675 23.538542235961 2.93351372770405 8.02400957379658 0.00000000000000102348320847413 0.00000000000615488685469393
"XM_060723658.1" 9.19615945013821 22.1595919138735 2.93428866869461 7.55194679729031 0.000000000000042879966067228 0.000000000128932911303143
"XM_060723671.1" 577.197658377742 -0.536925562657537 0.124944328522471 -4.29731840578078 0.0000172876783565623 0.0160692581400402
"XM_060724314.1" 33.1568639768395 -0.918522688313904 0.20770546142947 -4.42223657477492 0.00000976844117688437 0.0111929958007132
"XM_060724676.1" 21.9493707711624 5.21271773520332 0.832949371528226 6.2581447485091 0.00000000038958414920536 0.00000100406966225913
"XM_060726690.1" 300.795321077363 -1.58765582331581 0.406286923265052 -3.90772070771292 0.0000931709188107076 0.0473491984863092
"XM_060727329.1" 7.83451813993055 4.56183138524643 1.16643135109004 3.91093001828471 0.0000919414111690842 0.0473491984863092
"XM_060729833.1" 15.6567284353244 2.54124132345422 0.642651293032077 3.95430827107568 0.0000767563935825562 0.043960701480092
"XM_060729861.1" 73.7271417114411 3.51538293525778 0.712879946196509 4.93124116341567 0.00000081708783272723 0.00155169279897178
"XM_060730143.1" 17.0199929002132 -23.5569872027147 2.93377295616142 -8.02958768613674 0.000000000000000978007896659244 0.00000000000615488685469393
"XM_060730391.1" 41.4030041811206 -1.92192454072316 0.461643459265924 -4.16322272556247 0.0000313787013663496 0.0246563296441669
"XM_060732853.1" 11.8461329939711 -1.4263906885749 0.364054798273447 -3.91806589376008 0.0000892623079016415 0.0466777187493772
"XM_060732943.1" 5.0276937468087 3.3232095610462 0.804984100477702 4.128292172571 0.0000365467551192881 0.0263736003642831
"XM_060733074.1" 13.2667226370488 -23.4140935871782 2.93397624448588 -7.98032827674821 0.00000000000000145944614209787 0.0000000000068093353671457
"XM_060733623.1" 11.6640742581209 -23.4028300541394 2.93410291795757 -7.97614490988276 0.00000000000000150974676950185 0.0000000000068093353671457
"XM_060734518.1" 7.98056065630404 1.69999404145311 0.39208411570618 4.33578911604533 0.0000145238136842148 0.0149728070101097
"XM_060735405.1" 7.45519800390923 -5.62668830583963 1.25480214056201 -4.48412392994445 0.00000732141042328323 0.00910934934113467
"XM_060735521.1" 126.310085384093 -1.38048617155415 0.26706033069328 -5.16919217455643 0.000000235108041256327 0.000499009902624164
"XM_060736043.1" 96.2278657403092 -0.99673586297522 0.212852818303827 -4.68274684318473 0.00000283056009139603 0.00425551121740632
"XM_060736934.1" 9.33572455919749 -3.46005506224106 0.805360658551297 -4.29628021371828 0.0000173688007167444 0.0160692581400402
"XM_060737663.1" 37.1464034672116 4.72247716474877 0.825185894993715 5.72292521406312 0.0000000104705363859364 0.0000236123683673347
"XM_060737705.1" 1666.90981632252 -3.16575076532879 0.699077476988802 -4.52846911756464 0.00000594125623939462 0.00777270662551337
"XM_060738632.1" 31.8690392247286 1.20335845474154 0.306701212077236 3.92355298041175 0.0000872525664433451 0.0463396375218612
"XM_060738906.1" 8.58039857145037 -2.95628307127727 0.669029481237942 -4.41876352863718 0.00000992671874127883 0.0111929958007132
"XM_060739697.1" 26.1777266259768 7.92394910402409 1.54323730894959 5.13462774524132 0.000000282703019381638 0.000566693908073792
"XM_060741574.1" 222.295028057792 -1.58540617970552 0.38588583992159 -4.10848498620127 0.0000398263089834323 0.0272485754363444
"XM_060741668.1" 10.9291493234043 -6.97207671454642 1.46132620889296 -4.77106115808884 0.00000183257882283706 0.00293822415969378
"XM_060742410.1" 9.04423322885839 -23.056121867919 2.93440671445867 -7.85716640924887 0.00000000000000392920694272114 0.0000000000157526272119182
"XM_060743605.1" 13.0779747464823 4.39863381835289 1.05570932847209 4.16651979832266 0.0000309285043381463 0.0246563296441669
"XM_060747215.1" 8.63258625966643 2.59911287594763 0.659329479238635 3.94205470525749 0.0000807865437634757 0.0451971995409217
"XM_060748978.1" 438.52664086426 -1.24682894179114 0.313120006742766 -3.98195233438225 0.0000683514895759527 0.0411043074479921
"XM_060750272.1" 1610.64690712158 -1.00751708895828 0.248104135551781 -4.06086374464323 0.0000488915002234434 0.0315018412689693
"XM_060750708.1" 7.35165315042553 21.8520243728323 2.9345985262746 7.446342038675 0.000000000000095963813211652 0.000000000266351254484833
"XM_060751036.1" 14.8513474070677 -8.79856462838767 2.07298367846881 -4.24439648019161 0.0000219182521413719 0.0197713593441245
"XM_060751137.1" 86.5313657055235 -0.688542176496209 0.168102876266332 -4.09595714118136 0.0000420427712962421 0.0280923569242779
"XM_060751421.1" 31.8619555661843 2.31623506349325 0.495905535728204 4.67071830543697 0.00000300148310030928 0.00433198052901437
"XM_060752143.1" 168.59967227053 26.2255730782865 2.93312114108597 8.9411830663689 0.000000000000000000385025937428461 0.00000000000000694625293714687
"XM_060752155.1" 105.86479833576 25.5739826695061 2.93316107078058 8.71891520866949 0.00000000000000000280879805792669 0.0000000000000337823505087036
"XM_060752169.1" 5.79858647148003 -22.446544316326 2.93516124426013 -7.64746548770413 0.0000000000000204979236423502 0.0000000000672369164421162
"XM_060752642.1" 15.9407457252954 -6.73469471691834 1.41287125162412 -4.76667262439993 0.0000018729326443367 0.00293822415969378
